date	Central Harlem	Chelsea & Hell's Kitchen	East Harlem	Gramercy Park & Murray Hill	Greenwich Village & Soho	Lower Manhattan	Lower East Side	Upper East Side	Upper West Side	Inwood & Washington Heights
20180101	136	251	110	134	117	77	130	123	190	222
20180201	136	241	146	86	95	61	161	134	178	290
20180301	204	266	132	109	113	115	146	143	212	420
20180401	205	252	135	103	133	99	201	171	207	346
20180501	234	317	165	166	183	106	239	203	291	532
20180601	300	372	196	171	140	118	251	163	244	511
20180701	252	372	152	134	129	112	239	174	209	420
20180801	227	395	157	150	161	134	272	135	201	328
20180901	247	327	205	150	162	137	246	173	269	400
20181001	224	363	224	183	150	124	281	182	339	366
20181101	225	281	173	199	141	106	314	160	288	347
20181201	226	328	153	165	119	94	286	185	242	338
