Year,zipCode,causeOfDeath,Count
2016,90001,STK,12
2016,90002,STK,19
2016,90003,STK,18
2016,90004,STK,15
2016,90005,STK,9
2016,90006,STK,18
2016,90007,STK,13
2016,90008,STK,19
2016,90010,STK,0
2016,90011,STK,15
2016,90012,STK,15
2016,90013,STK,4
2016,90014,STK,3
2016,90015,STK,5
2016,90016,STK,22
2016,90017,STK,5
2016,90018,STK,19
2016,90019,STK,40
2016,90020,STK,10
2016,90021,STK,1
2016,90022,STK,17
2016,90023,STK,14
2016,90024,STK,14
2016,90025,STK,11
2016,90026,STK,24
2016,90027,STK,16
2016,90028,STK,5
2016,90029,STK,24
2016,90030,STK,0
2016,90031,STK,16
2016,90032,STK,23
2016,90033,STK,17
2016,90034,STK,14
2016,90035,STK,8
2016,90036,STK,8
2016,90037,STK,20
2016,90038,STK,7
2016,90039,STK,13
2016,90040,STK,6
2016,90041,STK,10
2016,90042,STK,16
2016,90043,STK,30
2016,90044,STK,21
2016,90045,STK,14
2016,90046,STK,21
2016,90047,STK,19
2016,90048,STK,10
2016,90049,STK,13
2016,90052,STK,0
2016,90053,STK,0
2016,90054,STK,0
2016,90056,STK,8
2016,90057,STK,13
2016,90058,STK,0
2016,90059,STK,12
2016,90061,STK,11
2016,90062,STK,8
2016,90063,STK,26
2016,90064,STK,15
2016,90065,STK,19
2016,90066,STK,23
2016,90067,STK,2
2016,90068,STK,8
2016,90069,STK,7
2016,90072,STK,0
2016,90073,STK,2
2016,90077,STK,4
2016,90079,STK,0
2016,90090,STK,0
2016,90091,STK,0
2016,90094,STK,2
2016,90095,STK,0
2016,90122,STK,0
2016,90126,STK,0
2016,90133,STK,0
2016,90140,STK,0
2016,90155,STK,0
2016,90160,STK,0
2016,90201,STK,21
2016,90202,STK,0
2016,90203,STK,0
2016,90205,STK,0
2016,90206,STK,0
2016,90207,STK,0
2016,90208,STK,0
2016,90210,STK,18
2016,90211,STK,5
2016,90212,STK,3
2016,90220,STK,18
2016,90221,STK,15
2016,90222,STK,25
2016,90225,STK,0
2016,90230,STK,10
2016,90231,STK,0
2016,90232,STK,5
2016,90234,STK,1
2016,90240,STK,9
2016,90241,STK,15
2016,90242,STK,14
2016,90245,STK,7
2016,90246,STK,0
2016,90247,STK,22
2016,90248,STK,9
2016,90249,STK,15
2016,90250,STK,33
2016,90253,STK,0
2016,90254,STK,6
2016,90255,STK,16
2016,90256,STK,0
2016,90258,STK,0
2016,90260,STK,15
