month,Central Harlem,Chelsea & Hell's Kitchen,East Harlem,Gramercy Park & Murray Hill,Greenwich Village & Soho,Lower Manhattan,Lower East Side,Upper East Side,Upper West Side,Inwood & Washington Heights
January,136,251,110,134,117,77,130,123,190,222
February,136,241,146,86,95,61,161,134,178,290
March,204,266,132,109,113,115,146,143,212,420
April,205,252,135,103,133,99,201,171,207,346
May,234,317,165,166,183,106,239,203,291,532
June,300,372,196,171,140,118,251,163,244,511
July,252,372,152,134,129,112,239,174,209,420
August,227,395,157,150,161,134,272,135,201,328
September,247,327,205,150,162,137,246,173,269,400
October,224,363,224,183,150,124,281,182,339,366
November,225,281,173,199,141,106,314,160,288,347
December,226,328,153,165,119,94,286,185,242,338
