ZIP,Total_Population,PM25,PM25_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
90001,4519,12.13,82.1,74.34,80.46,11.34,82.86,12,57.61,77,81.57
90002,4804.92,12.05,81.66,78.43,82.71,11.05,79.44,19,78.79,67,74.27
90003,4209.7,12.09,81.89,94.99,91.14,13.09,93.27,18,76.22,101,92.31
90004,3507.41,12.87,92.37,53.01,59.33,5.76,21.99,15,68.43,73,78.86
90005,3199.64,12.89,92.89,33.5,30.99,5.67,21.33,9,46.16,49,59.65
90006,3318.13,12.89,92.89,50.32,56.05,6.24,28.12,18,76.22,79,82.78
90007,3405.71,12.89,92.89,52.1,58.35,7.74,46.95,13,61.23,24,34.89
90008,4617,12.23,82.66,92.11,87.57,7.14,39.2,19,78.79,86,86.4
90010,3319,12.89,92.89,22.98,12.38,3.6,2.58,0,4.82,9,18.12
90011,4361.62,12.89,92.89,63.32,72.82,9.58,70.14,15,68.43,109,94.2
90012,3092.1,12.89,92.89,32,27.14,4.52,8.62,15,68.43,60,68.24
90013,5284,12.89,92.89,95.6,91.07,5.78,21.75,4,27.13,46,56.59
90015,3116.67,12.89,92.89,65.44,69.84,7.08,39.78,5,30.78,19,29.09
90016,3579.25,12.19,82.44,85.75,86.08,8.59,57.27,22,84.82,90,88.58
90017,3394,12.89,92.89,51.43,57.18,5.26,16.28,5,30.78,34,44.08
90018,3617.6,12.83,91.7,76.76,79.88,8.54,56.46,19,78.79,115,95.67
90019,4067.31,12.63,88.56,57.76,65.29,7.56,44.63,40,99.13,112,94.91
90020,3635.91,12.85,92.08,34.5,32.37,4.34,7.74,10,50.41,35,44.88
90021,2209.67,12.89,92.89,109,92,7.75,46.89,1,13.11,7,15.34
90022,4520.31,12.11,82.02,61.29,70.5,11.84,87.6,17,74.04,75,80.6
90023,4063.23,12.79,90.84,61.5,69.77,9.23,64.68,14,65,60,68.24
90024,4139.5,12.05,81.66,12.11,1.63,5.62,20.36,14,65,68,74.94
90025,4025.2,12.05,81.66,18.08,6.27,6.58,32.29,11,54.3,74,79.65
90026,3431.1,12.89,92.89,46.95,51.63,6.64,32.95,24,88.47,85,85.8
90027,2900.25,12.86,92.33,44.86,48.4,9.43,65.06,16,71.48,88,87.72
90028,3485,12.42,85.19,50.2,54.18,8.05,49.65,5,30.78,57,66.28
