Year,zipCode,causeOfDeath,Count
2016,90001,Stroke,12
2016,90002,Stroke,19
2016,90003,Stroke,18
2016,90004,Stroke,15
2016,90005,Stroke,9
2016,90006,Stroke,18
2016,90007,Stroke,13
2016,90008,Stroke,19
2016,90010,Stroke,0
2016,90011,Stroke,15
2016,90012,Stroke,15
2016,90013,Stroke,4
2016,90014,Stroke,3
2016,90015,Stroke,5
2016,90016,Stroke,22
2016,90017,Stroke,5
2016,90018,Stroke,19
2016,90019,Stroke,40
2016,90020,Stroke,10
2016,90021,Stroke,1
2016,90022,Stroke,17
2016,90023,Stroke,14
2016,90024,Stroke,14
2016,90025,Stroke,11
2016,90026,Stroke,24
2016,90027,Stroke,16
2016,90028,Stroke,5
2016,90029,Stroke,24
2016,90030,Stroke,0
2016,90031,Stroke,16
2016,90032,Stroke,23
2016,90033,Stroke,17
2016,90034,Stroke,14
2016,90035,Stroke,8
2016,90036,Stroke,8
2016,90037,Stroke,20
2016,90038,Stroke,7
2016,90039,Stroke,13
2016,90040,Stroke,6
2016,90041,Stroke,10
2016,90042,Stroke,16
2016,90043,Stroke,30
2016,90044,Stroke,21
2016,90045,Stroke,14
2016,90046,Stroke,21
2016,90047,Stroke,19
2016,90048,Stroke,10
2016,90049,Stroke,13
2016,90052,Stroke,0
2016,90053,Stroke,0
2016,90054,Stroke,0
2016,90056,Stroke,8
2016,90057,Stroke,13
2016,90058,Stroke,0
2016,90059,Stroke,12
2016,90061,Stroke,11
2016,90062,Stroke,8
2016,90063,Stroke,26
2016,90064,Stroke,15
2016,90065,Stroke,19
2016,90066,Stroke,23
2016,90067,Stroke,2
2016,90068,Stroke,8
2016,90069,Stroke,7
2016,90072,Stroke,0
2016,90073,Stroke,2
2016,90077,Stroke,4
2016,90079,Stroke,0
2016,90090,Stroke,0
2016,90091,Stroke,0
2016,90094,Stroke,2
2016,90095,Stroke,0
2016,90122,Stroke,0
2016,90126,Stroke,0
2016,90133,Stroke,0
2016,90140,Stroke,0
2016,90155,Stroke,0
2016,90160,Stroke,0
2016,90201,Stroke,21
2016,90202,Stroke,0
2016,90203,Stroke,0
2016,90205,Stroke,0
2016,90206,Stroke,0
2016,90207,Stroke,0
2016,90208,Stroke,0
2016,90210,Stroke,18
2016,90211,Stroke,5
2016,90212,Stroke,3
2016,90220,Stroke,18
2016,90221,Stroke,15
2016,90222,Stroke,25
2016,90225,Stroke,0
2016,90230,Stroke,10
2016,90231,Stroke,0
2016,90232,Stroke,5
2016,90234,Stroke,1
2016,90240,Stroke,9
2016,90241,Stroke,15
2016,90242,Stroke,14
2016,90245,Stroke,7
2016,90246,Stroke,0
2016,90247,Stroke,22
2016,90248,Stroke,9
2016,90249,Stroke,15
2016,90250,Stroke,33
2016,90253,Stroke,0
2016,90254,Stroke,6
2016,90255,Stroke,16
2016,90256,Stroke,0
2016,90258,Stroke,0
2016,90260,Stroke,15
2016,90261,Stroke,0
2016,90262,Stroke,22
2016,90265,Stroke,9
2016,90266,Stroke,16
2016,90267,Stroke,0
2016,90270,Stroke,7
2016,90271,Stroke,0
2016,90272,Stroke,11
2016,90274,Stroke,9
2016,90275,Stroke,36
2016,90277,Stroke,14
2016,90278,Stroke,13
2016,90280,Stroke,22
2016,90284,Stroke,0
2016,90290,Stroke,1
2016,90291,Stroke,10
2016,90292,Stroke,1
2016,90293,Stroke,7
2016,90301,Stroke,9
2016,90302,Stroke,10
2016,90303,Stroke,7
2016,90304,Stroke,8
2016,90305,Stroke,7
2016,90308,Stroke,0
2016,90320,Stroke,0
2016,90340,Stroke,0
2016,90356,Stroke,0
2016,90367,Stroke,0
2016,90377,Stroke,0
2016,90392,Stroke,0
2016,90401,Stroke,2
2016,90402,Stroke,9
2016,90403,Stroke,15
2016,90404,Stroke,8
2016,90405,Stroke,11
2016,90427,Stroke,0
2016,90460,Stroke,0
2016,90463,Stroke,0
2016,90464,Stroke,0
2016,90470,Stroke,0
2016,90501,Stroke,12
2016,90502,Stroke,12
2016,90503,Stroke,24
2016,90504,Stroke,11
2016,90505,Stroke,24
2016,90506,Stroke,0
2016,90508,Stroke,0
2016,90509,Stroke,0
2016,90512,Stroke,0
2016,90513,Stroke,1
2016,90601,Stroke,11
2016,90602,Stroke,11
2016,90603,Stroke,9
2016,90604,Stroke,17
2016,90605,Stroke,13
2016,90606,Stroke,15
2016,90608,Stroke,0
2016,90616,Stroke,0
2016,90620,Stroke,22
2016,90621,Stroke,13
2016,90623,Stroke,8
2016,90630,Stroke,21
2016,90631,Stroke,35
2016,90632,Stroke,0
2016,90636,Stroke,0
2016,90637,Stroke,0
2016,90638,Stroke,23
2016,90640,Stroke,29
2016,90650,Stroke,44
2016,90651,Stroke,0
2016,90652,Stroke,0
2016,90656,Stroke,0
2016,90660,Stroke,25
2016,90670,Stroke,6
2016,90675,Stroke,0
2016,90680,Stroke,14
2016,90701,Stroke,4
2016,90702,Stroke,0
2016,90703,Stroke,22
2016,90704,Stroke,0
2016,90705,Stroke,0
2016,90706,Stroke,27
2016,90707,Stroke,0
2016,90709,Stroke,0
2016,90710,Stroke,11
2016,90711,Stroke,0
2016,90712,Stroke,12
2016,90713,Stroke,16
2016,90715,Stroke,7
2016,90716,Stroke,6
2016,90717,Stroke,8
2016,90720,Stroke,11
2016,90723,Stroke,24
2016,90731,Stroke,23
2016,90732,Stroke,12
2016,90740,Stroke,41
2016,90742,Stroke,1
2016,90743,Stroke,0
2016,90744,Stroke,12
2016,90745,Stroke,27
2016,90746,Stroke,15
2016,90748,Stroke,0
2016,90749,Stroke,0
2016,90750,Stroke,0
2016,90755,Stroke,7
2016,90766,Stroke,0
2016,90767,Stroke,0
2016,90801,Stroke,0
2016,90802,Stroke,10
2016,90803,Stroke,15
2016,90804,Stroke,14
2016,90805,Stroke,27
2016,90806,Stroke,19
2016,90807,Stroke,20
2016,90808,Stroke,19
2016,90810,Stroke,14
2016,90811,Stroke,0
2016,90813,Stroke,17
2016,90814,Stroke,7
2016,90815,Stroke,15
2016,90816,Stroke,0
2016,90822,Stroke,1
2016,90831,Stroke,0
2016,90860,Stroke,0
2016,90870,Stroke,0
2016,90874,Stroke,0
2016,90903,Stroke,0
2016,90905,Stroke,0
2016,90931,Stroke,0
2016,90973,Stroke,0
2016,91001,Stroke,19
2016,91003,Stroke,0
2016,91006,Stroke,16
2016,91007,Stroke,24
2016,91008,Stroke,0
2016,91009,Stroke,0
2016,91010,Stroke,16
2016,91011,Stroke,5
2016,91016,Stroke,17
2016,91020,Stroke,6
2016,91022,Stroke,0
2016,91024,Stroke,1
2016,91025,Stroke,0
2016,91026,Stroke,0
2016,91030,Stroke,6
2016,91040,Stroke,11
2016,91041,Stroke,0
2016,91042,Stroke,4
2016,91043,Stroke,0
2016,91045,Stroke,0
2016,91046,Stroke,0
2016,91063,Stroke,0
2016,91076,Stroke,0
2016,91077,Stroke,0
2016,91081,Stroke,0
2016,91101,Stroke,5
2016,91102,Stroke,0
2016,91103,Stroke,18
2016,91104,Stroke,19
2016,91105,Stroke,6
2016,91106,Stroke,9
2016,91107,Stroke,9
2016,91108,Stroke,4
2016,91117,Stroke,0
2016,91124,Stroke,0
2016,91135,Stroke,0
2016,91177,Stroke,0
2016,91180,Stroke,0
2016,91201,Stroke,12
2016,91202,Stroke,14
2016,91203,Stroke,7
2016,91204,Stroke,7
2016,91205,Stroke,23
2016,91206,Stroke,20
2016,91207,Stroke,9
2016,91208,Stroke,3
2016,91209,Stroke,0
2016,91210,Stroke,1
2016,91214,Stroke,13
2016,91216,Stroke,0
2016,91222,Stroke,0
2016,91234,Stroke,0
2016,91235,Stroke,0
2016,91237,Stroke,0
2016,91252,Stroke,0
2016,91256,Stroke,0
2016,91274,Stroke,0
2016,91301,Stroke,12
2016,91302,Stroke,7
2016,91303,Stroke,7
2016,91304,Stroke,19
2016,91305,Stroke,0
2016,91306,Stroke,12
2016,91307,Stroke,10
2016,91308,Stroke,0
2016,91309,Stroke,0
2016,91310,Stroke,0
2016,91311,Stroke,19
2016,91314,Stroke,0
2016,91316,Stroke,10
2016,91320,Stroke,14
2016,91321,Stroke,13
2016,91322,Stroke,0
2016,91324,Stroke,10
2016,91325,Stroke,14
2016,91326,Stroke,12
2016,91328,Stroke,0
2016,91331,Stroke,33
2016,91334,Stroke,0
2016,91335,Stroke,42
2016,91336,Stroke,0
2016,91340,Stroke,7
2016,91341,Stroke,1
2016,91342,Stroke,24
2016,91343,Stroke,24
2016,91344,Stroke,26
2016,91345,Stroke,11
2016,91346,Stroke,0
2016,91350,Stroke,7
2016,91351,Stroke,9
2016,91352,Stroke,18
2016,91353,Stroke,0
2016,91354,Stroke,4
2016,91355,Stroke,11
2016,91356,Stroke,13
2016,91357,Stroke,0
2016,91360,Stroke,29
2016,91361,Stroke,14
2016,91362,Stroke,12
2016,91363,Stroke,0
2016,91364,Stroke,18
2016,91365,Stroke,0
2016,91366,Stroke,0
2016,91367,Stroke,13
2016,91371,Stroke,0
2016,91376,Stroke,0
2016,91377,Stroke,5
2016,91380,Stroke,0
2016,91381,Stroke,4
2016,91384,Stroke,10
2016,91385,Stroke,0
2016,91386,Stroke,0
2016,91387,Stroke,9
2016,91390,Stroke,6
2016,91392,Stroke,0
2016,91396,Stroke,0
2016,91397,Stroke,0
2016,91401,Stroke,14
2016,91402,Stroke,23
2016,91403,Stroke,11
2016,91405,Stroke,10
2016,91406,Stroke,8
2016,91411,Stroke,11
2016,91413,Stroke,0
2016,91415,Stroke,0
2016,91423,Stroke,6
2016,91434,Stroke,0
2016,91436,Stroke,1
2016,91456,Stroke,0
2016,91460,Stroke,0
2016,91463,Stroke,0
2016,91495,Stroke,0
2016,91501,Stroke,12
2016,91502,Stroke,5
2016,91504,Stroke,9
2016,91505,Stroke,9
2016,91506,Stroke,13
2016,91507,Stroke,0
2016,91510,Stroke,0
2016,91550,Stroke,0
2016,91570,Stroke,0
2016,91577,Stroke,0
2016,91600,Stroke,0
2016,91601,Stroke,12
2016,91602,Stroke,3
2016,91603,Stroke,0
2016,91604,Stroke,13
